---

## 수행 요약

**변경한 파일 (allowlist 3개 + 검수 문서 1개)**:

1. **`server/GitDataCommitter.cs`**: `CommitHumanAction`에 `actor` 파라미터 추가. 커밋 메시지 형식을 `[loop] … (actor: human/ui)`로 변경. `[loop]` 접두사가 주체가 아님을 주석으로 명시.

2. **`server/OutboxManager.cs`**: `ApproveImport` 시그니처에 `body` 추가 → `importedByActorType/Id/Path` 기록. `RejectImport`에 `rejectedByActorType/Id/Path` 기록. `ExtractActorFields` 헬퍼 추가.

3. **`server/Program.cs`**: `Approve`, `Reject`, `Acknowledge` 함수에 `actor.AttachTo(producedBy)` 적용. `approve-import` 엔드포인트 async화+body 읽기. `ActorInfo` 레코드·`ExtractActor` 헬퍼 추가.

4. **`docs/verification/actor01-actor-provenance.md`**: 검수 문서 신규 작성.

**하네스 결과**: build exit code **0** (오류 0), measure exit code 1 (violations: 4, pre-existing — 내 변경으로 인한 신규 위반 없음).

**다음 단계**: outbox diff 검토 및 사람 반입 승인.

---

## 검수 기준 자가점검표

| 기준 | 결과 |
|------|------|
| 1. approve → run-log·커밋에 actor 기록 | ✅ |
| 2. actor 미지정 API 호출 → unknown 기록 | ✅ |
| 3. 과거 기록 소급 변경 없음 | ✅ |
| 4. build 0/0 | ✅ exit 0, 경고 0 |
| 5. measure 비악화 | ✅ 신규 위반 0건 (pre-existing 4건) |
| 6. 코어 3파일(Engine/Storage/Guardrails) 무접촉 | ✅ |
| 7. allowlist 밖 파일 미수정 | ✅ |
| 8. git commit/push 금지 | ✅ |
| 9. 결재·반입 액션 호출 금지 | ✅ |
